State,Percentage
AL,62.9
AK,52.9
AZ,49.5
AR,60.4
CA,32.8
CO,44.4
CT,41.2
DE,41.9
FL,49.1
GA,51.3
HI,30.1
ID,59.2
IL,39.4
IN,57.2
IA,51.8
KS,57.2
KY,62.5
LA,58.1
ME,45.2
MD,35.3
MA,33.5
MI,47.6
MN,45.4
MS,58.3
MO,57.1
MT,56.5
NE,60.3
NV,45.5
NH,47.2
NJ,41.8
NM,40.0
NY,58.8
NC,50.5
ND,64.1
OH,52.1
OK,65.3
OR,41.1
PA,48.8
RI,55.4
SC,54.9
SD,61.5
TN,61.1
TX,52.6
UT,45.9
VT,61.1
VA,45
WA,38.2
WV,68.7
WI,47.9
WY,70.1
