State,Winner
AL,1
AK,1
AZ,1
AR,1
CA,2
CO,2
CT,2
DE,2
FL,1
GA,1
HI,2
ID,1
IL,2
IN,1
IA,1
KS,1
KY,1
LA,1
ME,2
MD,2
MA,2
MI,1
MN,2
MS,1
MO,1
MT,1
NE,1
NV,2
NH,2
NJ,2
NM,2
NY,2
NC,1
ND,1
OH,1
OK,1
OR,2
PA,1
RI,2
SC,1
SD,1
TN,1
TX,1
UT,1
VT,2
VA,2
WA,2
WV,1
WI,1
WY,1
