Rank;Conference (Full Name);Short Name;H5-Index
1;IEEE Conference on Computer Vision and Pattern Recognition;CVPR;112
2;IEEE Transactions on Pattern Analysis and Machine Intelligence;TPAMI;101
3;Expert Systems with Applications;Expert Syst. Appl.;59
4;International Journal of Computer Vision;IJCV;58
5;IEEE International Conference on Robotics and Automation;ICRA;58
6;International Conference on Computer Vision;ICCV;58
7;International Conference on Machine Learning;ICML;56
8;Annual Conference on Neural Information Processing Systems;NIPS;51
9;Journal of Machine Learning Research;JMLR;49
10;Annual Meeting of the Association for Computational Linguistics;ACL;48
11;IEEE Transactions on Audio, Speech, and Language Processing;TASLP;46
12;Pattern Recognition;;45
13;Conference on Empirical Methods in Natural Language Processing;EMNLP;45
14;AAAI Conference on Artificial Intelligence;AAAI;44
15;IEEE Transactions on Fuzzy Systems;TFS;44
16;Decision Support Systems;DSS;43
17;Neurocomputing;;39
18;IEEE Transactions on Evolutionary Computation;TEVC;38
19;Pattern Recognition Letters;PRL;37
20;Autonomous Agents and Multi-Agent Systems;AAMAS;36
21;International Joint Conference on Artificial Intelligence;IJCAI;35
22;Image and Vision Computing;;35
23;Computer Vision and Image Understanding;CVIU;34
24;Machine Learning;;33
25;Neural Networks;;32
26;Fuzzy Sets and Systems;;31
27;International Conference on Pattern Recognition;ICPR;31
28;IEEE Transactions on Neural Networks and Learning Systems;TNNLS;31
29;International Journal of Approximate Reasoning;IJAR;31
30;Neural Computation;NC;30
31;British Machine Vision Conference;BMVC;30
32;Computer Speech & Language;;27
33;Evolutionary Computation;;27
34;Genetic and Evolutionary Computation Conference;GECCO;27
35;Computational Linguistics;CL;26
36;International Conference on Computational Linguistics;COLING;26
37;Transactions on Affective Computing;TAC;26
38;Journal of Artificial Intelligence Research;JAIR;26
39;International Conference on Principles of Knowledge Representation and Reasoning;KR;24
40;Data & Knowledge Engineering;Data Knowl. Eng.;24
41;Autonomous Agents and Multi-Agent Systems;AAMAS;23
42;Evolutionary Computation;;22
43;Neural Computing & Applications;NCA;22
44;International Conference on Document Analysis and Recognition;ICDAR;22
45;International Joint Conference on Neural Networks;IJCNN;22
46;Artificial Intelligence in Medicine;AIM;21
47;International Journal of Neural Systems;Int. J. Neural Syst.;21
48;International Conference on Automated Planning and Scheduling;ICAPS;20
49;European Conference on Artificial Intelligence;ECAI;20
50;Annual Conference on Computational Learning Theory;COLT;20
51;International Journal of Intelligent Systems;IJIS;20
52;Journal of Automated Reasoning;JAR;20
53;International Journal on Document Analysis and Recognition;IJDAR;18
54;Applied Intelligence;Appl. Intell.;18
55;Computational Intelligence;CI;17
56;Natural Computing;;17
57;ACM Transactions on Applied Perception;TAP;16
58;European Conference on Computer Vision;ECCV;16
59;Natural Language Engineering;NLE;15
60;International Conference on Uncertainty in Artificial Intelligence;UAI;15
61;Neural Processing Letters;NPL;14
62;Artificial Life;;13
63;International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems;;13
64;Machine Translation;MT;13
65;International Joint Conference on Biometrics;ICB;13
66;International Conference on Algorithmic Learning Theory;ALT;13
67;Pattern Analysis and Applications;PAA;13
68;Artificial Life;;12
69;Expert Systems;;11
70;IEEE International Conference on Tools with Artificial Intelligence;ICTAI;11
71;The Annual Conference of the North American Chapter of the Association for Computational Linguistics;NAACL;10
72;Neural Computing & Applications;NCA;10
73;Asian Conference on Computer Vision;ACCV;10
74;Decision Support Systems;DSS;10
75;International Conference on Case-Based Reasoning;ICCBR;10
76;International Journal of Pattern Recognition and Artificial Intelligence;IJPRAI;10
77;Web Intelligence and Agent Systems;WIAS;9
78;Intelligent Data Analysis;IDA;9
79;International Conference on Inductive Logic Programming;ILP;9
80;Journal of Experimental and Theoretical Artificial Intelligence;JETAI;9
81;ACM Transactions on Speech and Language Processing;TSLP;9
82;Pacific Rim International Conference on Artificial Intelligence;PRICAI;8
83;Machine Vision and Applications;;7
84;Connection Science;;7
85;Machine Learning;;6
86;Soft Computing;;6
87;International conference on Knowledge Science, Engineering and Management;KSEM;6
88;IEEE Transactions on Cybernetics;;6
89;International Journal of Computational Intelligence and Applications;IJCIA;5
90;International Conference on Artificial Neural Networks;ICANN;4
91;International Conference on Neural Information Processing;ICONIP;4
92;Natural Computing;;3
93;ACM Transactions on Asian Language Information Processing;TALIP;3
94;Autonomous Agents and Multi-Agent Systems;AAMAS;1
95;International Conference on Automatic Face and Gesture Recognition;FGR;1
96;Knowledge-Based Systems;KBS;0
97;Artificial Intelligence;AI;0
